toegangsnummer,titel
5,Vereeniging Archimedes
6,Directie Moscovische Handel
13,"Genootschap Eendracht, Deugd en Oefening"
14,Sociëteit In de Tuin Vreedelust
15,Amsterdamsche Pijp Gaz Compagnie
16,Directie Wegen en Vaarten
17,Commissie Tentoonstelling Oude Schilderijen
18,Vereeniging Wijkmeesters Stad Amsterdam Nut en Orde
19,Bestuur Legaat Johannes Monnikhof
21,Naardens Eerepenning
23,Rederijkerskamer (1844)
24,Rederijkerskamer Achilles
25,Commissie Viering Waterloo
26,Vereeniging Poëzy en Proza Vondel
27,"Collegium Medicum, obstetricium enToezicht"
29,Subcie. Ned. Kunstenaars Wereldtentoonstelling
30,"Genees-, Heel- en Verloskundige School"
31,Commissie Betrekkingen Miliciens
32,Cie 25-jarig Regeringsjubileum Willem III
33,Cie Exposition d'Hygiène et de Sauvetage
34,Cie Voorlichting stichting Rijksmuseum
35,Cie Aanbieden huldeblijk prinses Emma
36,Comité Huldeblijk nagedachtenis J.R. Thorbecke
37,Cie Geschenk Willem III
38,Waterschout
39,Cie Bezoek Kon. Familie
40,Cie Viering Unie van Utrecht
41,Buurtcie Sarphatistraat en Omgeving
42,Cie Huldeblijk van der Heyden
44,Cie Derde Afdeling Koloniale Tentoonstelling
45,Vereeniging ter Bevordering Handenarbeid
46,Firma Cramer Haighton
47,Cie Gedenkteken Prins Hendrik
48,Amsterdamsche Rijtuigvereeniging
49,Vereeniging Ned. Gravers en Baggerlieden
51,Cie Feestelijke Opening Rijksmuseum
52,Cie Hulde aan P.H. Witkamp
53,Cie Oprichting Sarphatimonument
54,Mij. Exploitatie Zwem- en Badinrichting De Amstel
55,Uitvoerend Comité Aprilfeesten Koning Willem III
56,Commissarissen over de Vaart op den Rijn
58,Cie Gedenksteen Geboortehuis Eduard Douwes Dekker
59,Felix Meritis
63,Roeivereniging Fortuna
65,Metalen Kruis: Afdeling Amsterdam Eerste Sectie
66,Hooger Zij Ons Doel
67,Cie Plaatsing Gedenksteen Graf M.G. Snoek
68,Cie Bemiddeling Werkstaking Diamantbewerkers
69,Cie Huldiging Nagedachtenis N. de Roever
71,Hoofdcommissie Ingezetenen Feestelijke Ontvangst
75,Kunst en Wetenschap Bevorderende Maatschappij
76,Familie De Graeff
78,Dir. Oosterse Handel en Rederijen
80,Familie Hartkamp
84,Vereniging Kindervoeding
85,
86,Stadsadvocaten Antonius Pibo
87,Commissie voor de Historische Tentoonstelling
88,Familie Brants
89,Vereeniging Tentoonstelling De Vrouw
90,Het Duitsche Toneel
92,Stads- en Godshuispolder
93,Commissie en Commissarissen Graanhandel
95,Larensche Kunsthandel
96,Ten Kate Comité
97,Riekerpolder en Rechtsvoorgangers
98,A.S. van Nierop
99,Historische Tentoonstelling Stad Amsterdam 1925
100,De Overbrakerbuitenpolder
101,Bezoldigde Gardes
102,Nijverheid en Handelsmij: Fabrieks- en Handwerk
103,Krans Tandem Fit Surculus Arbor
104,Comité Versiering District V
105,Olympische Spelen 1928 Vereniging 't Koggeschip
106,Stalhouderij De Berebeyt
107,Onderlinge Brandverzekering Suikerraffinadeurs
108,Vakschool voor Schoenmakers
109,J. Toorenburch
110,Makelaars in Suiker S. Spellers
111,Leesgezelschap Tot Nut en Stichting
112,Zangvereniging Musicae et Amicitiae
113,Protestantse Vereniging: verlaten RKK
114,Familie Stolberg
115,Tanah Wangie Maatschappij
116,Vereniging tot Veredeling van het Volksvermaak
117,Vereeniging Diamantclub Concordia
118,Oude Jachthaven
119,Distictcommissie Ontvangst Koningin Amsterdam
120,Commissie Huldiging Koningin-Moeder
121,Toneelgezelschap Majofski
122,Commissie Huldiging A.Th. Hartkamp
123,Wijnhandelaar Simon Pieter Lecun
124,Familie Waijenburg
125,Comité Hulpverlening Watersnood
126,Mr. S. Vissering
127,De Amsterdamsche Courant
128,Gezelschap Zucht voor 't Vorstelijk Huis
129,Stichting van een Inrichting voor Ooglijders
130,Falckfonds Steun Genootschap Het  Leesmuseum
131,Liedertafel Euterpe
132,Mannenkoor Eutonia
133,Cie. Feestregeling Derde Ned. Nat. Zangersfeest
134, Ned. Ver. Belangen Verplegers Nosokomos
135,Vereeniging Archimedes
136,Herensociëteit De Harmonie
137,Watersnoodcomité's Nieuwedam en Waterland
138,Fonds Liefdadigheid der Maatschappij V.W.
139,Cie. Gedachtenisviering Isaac da Costa
141,Begrafenissociëteit
142,Cie. Huldiging Amsterdamsche Brandweer
143,Cie. Verlichting Westertoren
144,Fam. Stolberg
145,Halve Brigade Gewapende Burgerwacht Wijk 55
146,Ver. Nederland en Oranje: strijders 1813-1815
147,Jan Dominicus Croese
149,Architectenbureau IJ. Bijvoets Gz
150,Subcommissie ngedachtenis Mr. J.R. Thorbecke
151,Cornelis Gijsbertsz van Goor
152,Vereeniging Finantieelen Steun Port.-Isr. Ziekenhuis
154,Vereniging Amsterdamsche Zwemclub 1870
157,"Nat. Jeugdstorm Vendel, Wirtschaftsamt NSDAP"
158,Familie Leendertz
159,"Burgerwacht, afdeling Brandweer"
160,Genootschap Blaas- en Strijklust
161,Vereeniging Het Amsterdamsche Leesgenootschap
162,Bible Hotel
164,Weekblad Uitgever en Debitant
165,Damescomité Toezicht Nuttige Handwerken
166,Commissie Aankoop Profiel A. van de Wijngaerde
167,Genootschap tot Beoefening van Deugd en Kunde
168,Maatschappij voor Volkskeukens
169,Weeshuis de Oranjeappel
170,Mobiele Sociëteit
172,Familie Backer
173,Debatingclub Ons Huis
174,Herdenking honderdsten geboortendag van dr. J.P.Heije
175,Nationale Inspanning Welzijnsverzorging Indië
176,"Dageraad, algemeene arbeiderscoöperatie De"
177,Ambtenaren voor Socialen Arbeid
179,Vrijwillige Brigade tot Redding van Drenkelingen
180,Hervormde Gemeente te Nieuwendam
181,Vereniging Pro Juventute
183,Familie van de Poll
184,P. van Eeghen
185,Hacke van Mijnden en van Tienhoven
188, Firma Temminck en Van Twist
190,Hersteld Evangelisch-Luthersche Gemeente
191,Rooms-Katholiek Jongensweeshuis
192,Familie Moens
195,Familie Bicker
196,Internationale Handelsvereniging
197,Firma Woltman Elpers
198,Zeepziederscollege
199,Familie Den Tex en Bondt
200,Luthers Weeshuis
201,Waalsch Hervormde Gemeente
202,R.F.G. Nieuwenhuys
203,Jan de Meyer
204,Centraal Brouwerijkantoor
206,Dansclubs
207,Vereniging Openbare Speelplaatsen en ABLO
208,Amsterdams Genootschap ter bevordering Koepokinenting
209,A. Ingwersen
210,Vereniging Afschaffing Alcoholhoudende Dranken
211,Maatschappij tot Nut van het Algemeen
212,Specerijen Fronenbroeck en Van Naarden
213,Evangelisch-Lutherse Gemeente
214, Evangelisch-Lutherse Synode
215,Familie Ter Meulen
217,Begraafplaats Rustoord te Diemerbrug
223,C. van Rij
224,Oudercommissie der Meerhuizenschool
225,Familie Heshuysen
226,Familie Hooft
228,Union Vrouwelijk Huispersoneel
230,Willem Otto Brooks
231,Huis Marquette
232,Waarborg tegen Brandschade Roerende Goederen
233,Lunchroom en Bodega Maison Koomen
234,Familie Deutz
235,Dr. W. de Vlugt
236,Familie Clifford
237,Familie Elias
238,Familie Van Lennep
239,Mr.W.F.van Leeuwen en P.A.Waller
246,Binnendijkse Buitenvelderse Polder
248,Sloterdijkermeerpolder
255,Familie De Clercq
258,Marnixschool
263,Plaatselijke Schoolcommissie en rechtsopvolger
265,Bestuur der Stadstekenacademie
275,Stadsdrukkerij en Weduwenfonds
278,Curatoren van het Athenaeum
281,Universiteit Amsterdam: Rector en Assessoren
282,Orde Hoogleeraren Athenaeum
287,Familie Kam
288,Gezelschap Michelangelo Buonarotti
289,Instituut van Directeuren
291,Architectenbureau Baanders
292,Familie Hasselaer
296,Jean Malherbe en Cristina van Steensel
297,Arbeidersklasse
300,Familie Goedkoop-Vis
301,
302,
303,
305,Doopsgezinde Zending
306,Mr. A.J. d'Ailly
307,Comité van Jachthoorn tot Kampvuur
308,Familie Kat
309,W. Holtrop en J.S van Esveld Holtrop
312,Gemeentelijk Bureau Amsterdam helpt Arnhem
313,Familie van Someren Brand
314,Cornelis Schrijver
316,Amsterdamsche Kanaalmaatschappij
317,Gemeente energiebedrijf: Stukken Luchtbescherming
318,
319,Familie Sweers
320,Jan Theunisse de Jonge
321,Bestuur Inrichting Examineren van Varenslieden
322,Kamers van Arbeid te Amsterdam
323,Maatschappij Nut Algemeen: Departement Amsterdam
324,Familie Steenhoff-Verburg
325,Feestgebouw Bellevue
326,Hersteld Evangelische - Lutherse Kerk
327,Evangelisch-Luthers Seminarium
328,Lutkemeerpolder
329,Hervormde Gemeente te Sloten
331,VVHK te Amsterdam
332,Familie De Vogel
333,Holland Land Company
334,Portugees-Israëlietische Gemeente
335,Stadswaterkantoor
337,Gemeente Watergraafsmeer
338,Ransdorp
339,Gemeente Buiksloot
341,Gemeente Sloten
342,Gasthuizen
343,Aalmoezeniersweeshuis
344,Inrichting Stadsbestedelingen
345,Tuchthuis
347,Spin- en Nieuwe Werkhuis
348,Armenhuis
349,Huiszittenhuis
350,Burgerlijk Armbestuur
351,Duinwater Maatschappij
352,Vereniging aanleg Vondelpark
354,Stadsschouwburgmaatschappij
355,Fonds gewapende dienst
359,J.W.C. Tellegen
360,Johannes Philippus Mannetter
361,Hervormde Gemeente Buiksloot
362,Schuttersraad
363,Garde Soldee
364,Gewapende Burgerwacht
366,Gilden en Brouwerscollege
368,Bank van Leening
369,"St.Jorishof, Leprozen-, Oude Mannen-& Vrouwengasthuis"
372,Vereniging Hulp voor Onbehuisden
374,Familie Kruimel
375,W.J.R. Dreesmann
376,Kerkenraad Hervormde Gemeente
377,Hervormde Gemeente: Diaconie
379,Nederlandse Hervormde Kerk Classis Amsterdam
381,Evangelisch-Lutherse Gemeente Diakonie
382,Familie Van Hall
383,Amsterdamse Politie Mannenkoor Euterpe
384,Meta Kehrer
386,Gemeenschap voor Doopsgezind Broederschapswerk
388,Hervormde Gemeente Amsterdam-West en rechtsvoorganger
393,Vereeniging Volkszang
394,Familie Boissevain en aanverwanten
395,Artis
398,Weesperkarspel en Bijlmermeer
399,Familie Westerman
400,Sociale Raad
404,v. Brants-Rus Hofje / Christoffel van Brants
406,Bonebakker
411,Centrale Keuken
415,Verenigde Polders
423,Familie Allebé
424,Bond van Volkstuinders
425,Heemraadschap De Buikslotermeer met rechtsvoorganger
426,Familie Hooft Graafland
427, V.V.D. Afdeling Amsterdam
428,Vereenigd Beheer
431,Stichting Amsterdam-Rijnkanaal 1952
432,"Parochie Heilige Ignatius, Zaaier"
433,Franciscus van Assisië ('t Boompje)
434,Parochie Heilige Anna (de Pool)
435,Parochie Willibrordus buiten de Veste
